year,brennanes,pctile,ranking
2020,312,5.484868,763
2019,338,5.11291,720
2018,381,4.696937,661
2017,463,4.111033,585
2016,549,3.757755,533
2015,689,3.169064,445
2014,806,2.752489,387
2013,927,2.448399,344
2012,1011,2.232676,318
2011,1177,2.042381,293
2010,1278,1.892744,270
2009,1464,1.658751,241
2008,1316,1.799152,263
2007,1207,1.987077,286
2006,1114,2.12963,299
2005,1054,2.334106,312
2004,1061,2.268946,300
2003,1127,2.163688,276
2002,1121,2.186624,273
2001,1121,2.227099,274
2000,1158,2.277416,276
1999,1106,2.325381,270
1998,1051,2.423278,274
1997,967,2.663953,288
1996,895,2.819977,297
1995,916,2.788806,288
1994,756,3.211636,329
1993,663,3.50118,356
1992,641,3.748599,368
1991,698,3.586235,346
1990,606,4.027412,382
1989,445,4.833117,446
1988,460,4.958191,421
1987,422,5.251534,428
1986,292,6.656446,521
1985,253,7.290705,553
1984,232,7.66294,562
1983,182,8.623978,633
1982,152,9.594246,707
1981,139,10.10835,737
1980,142,10.0891,736
1979,138,10.40871,736
1978,123,11.25573,761
1977,108,11.94748,819
1976,99,12.90621,838
1975,102,12.97348,822
1974,89,14.13586,849
1973,69,16.50502,970
1972,57,18.58161,1069
1971,78,16.27167,920
1970,73,17.12707,930
1969,66,18.69919,943
1968,58,20.15602,956
1967,53,21.79262,992
1966,53,21.99691,998
1965,36,28.77177,1272
1964,30,31.19286,1433
1963,32,29.75546,1375
1962,24,35.14916,1626
1961,25,34.52944,1607
1960,17,42.91621,1972
1959,11,55.36105,2530
1958,14,48.25749,2174
1957,9,62.02504,2824
1956,11,56.02964,2495
1955,10,58.38071,2567
1954,8,67.5,2943
1953,6,78.91705,3425
1951,5,87.30308,3713
1950,6,79.35638,3329
1949,6,78.46776,3298
1916,5,85.95369,3898
