Year,Boy,BoyCount,Girl,GirlCount
2020,Liam,19659,Olivia,17535
2019,Liam,20555,Olivia,18508
2018,Liam,19924,Emma,18770
2017,Liam,18824,Emma,19837
2016,Noah,19154,Emma,19522
2015,Noah,19650,Emma,20465
2014,Noah,19319,Emma,20943
2013,Noah,18266,Sophia,21232
2012,Jacob,19088,Sophia,22320
2011,Jacob,20378,Sophia,21850
2010,Jacob,22139,Isabella,22924
2009,Jacob,21184,Isabella,22311
2008,Jacob,22603,Emma,18817
2007,Jacob,24292,Emily,19358
2006,Jacob,24850,Emily,21409
2005,Jacob,25837,Emily,23944
2004,Jacob,27886,Emily,25039
2003,Jacob,29643,Emily,25691
2002,Jacob,30579,Emily,24467
2001,Jacob,32554,Emily,25057
2000,Jacob,34483,Emily,25957
1999,Jacob,35367,Emily,26539
1998,Michael,36616,Emily,26185
1997,Michael,37549,Emily,25734
1996,Michael,38365,Emily,25151
1995,Michael,41399,Jessica,27939
1994,Michael,44472,Jessica,32118
1993,Michael,49554,Jessica,34989
1992,Michael,54397,Ashley,38455
1991,Michael,60793,Ashley,43479
1990,Michael,65302,Jessica,46483
1989,Michael,65399,Jessica,47887
1988,Michael,64150,Jessica,51546
1987,Michael,63654,Jessica,55995
1986,Michael,64224,Jessica,52683
1985,Michael,64924,Jessica,48347
1984,Michael,67745,Jennifer,50560
1983,Michael,68010,Jennifer,54348
1982,Michael,68244,Jennifer,57119
1981,Michael,68776,Jennifer,57049
1980,Michael,68704,Jennifer,58379
1979,Michael,67742,Jennifer,56716
1978,Michael,67157,Jennifer,56319
1977,Michael,67609,Jennifer,58970
1976,Michael,66947,Jennifer,59474
1975,Michael,68451,Jennifer,58186
1974,Michael,67580,Jennifer,63116
1973,Michael,67842,Jennifer,62446
1972,Michael,71401,Jennifer,63604
1971,Michael,77599,Jennifer,56780
1970,Michael,85291,Jennifer,46157
1969,Michael,85201,Lisa,45028
1968,Michael,81995,Lisa,49534
1967,Michael,82440,Lisa,52434
1966,Michael,79990,Lisa,56918
1965,Michael,81021,Lisa,60270
1964,Michael,82642,Lisa,54272
1963,Michael,83778,Lisa,56042
1962,Michael,85041,Lisa,46077
1961,Michael,86917,Mary,47680
1960,David,85933,Mary,51477
1959,Michael,85224,Mary,54478
1958,Michael,90564,Mary,55858
1957,Michael,92718,Mary,61104
1956,Michael,90665,Mary,61743
1955,Michael,88372,Mary,63173
1954,Michael,88576,Mary,68019
1953,Robert,86247,Mary,64389
1952,James,87063,Linda,67079
1951,James,87261,Linda,73979
1950,James,86229,Linda,80431
1949,James,86865,Linda,91019
1948,James,88589,Linda,96212
1947,James,94764,Linda,99693
1946,James,87439,Mary,67471
1945,James,74460,Mary,59281
1944,James,76954,Mary,62469
1943,James,80274,Mary,66173
1942,James,77174,Mary,63256
1941,James,66743,Mary,58041
1940,James,62476,Mary,56208
1939,Robert,59653,Mary,54903
1938,Robert,62269,Mary,56214
1937,Robert,61842,Mary,55644
1936,Robert,58499,Mary,54374
1935,Robert,56522,Mary,55072
1934,Robert,55834,Mary,56932
1933,Robert,54223,Mary,55516
1932,Robert,59265,Mary,59883
1931,Robert,60518,Mary,60295
1930,Robert,62149,Mary,64149
1929,Robert,59804,Mary,63511
1928,Robert,60703,Mary,66873
1927,Robert,61671,Mary,70640
1926,Robert,61130,Mary,67836
1925,Robert,60897,Mary,70586
1924,Robert,60801,Mary,73536
1923,John,57469,Mary,71635
1922,John,57280,Mary,72176
1921,John,58215,Mary,73985
1920,John,56914,Mary,70982
1919,John,53526,Mary,65838
1918,John,56559,Mary,67366
1917,John,51852,Mary,64280
1916,John,50043,Mary,61438
1915,John,47576,Mary,58187
1914,John,37948,Mary,45345
1913,John,29329,Mary,36642
1912,John,24587,Mary,32304
1911,John,13446,Mary,24390
1910,John,11450,Mary,22848
1909,John,9591,Mary,19259
1908,John,9342,Mary,18665
1907,John,8983,Mary,17580
1906,John,8264,Mary,16370
1905,John,8059,Mary,16067
1904,John,8108,Mary,14961
1903,John,7608,Mary,14275
1902,John,7907,Mary,14486
1901,John,6900,Mary,13136
1900,John,9829,Mary,16705
1899,John,6990,Mary,13172
1898,John,8159,Mary,14406
1897,John,7550,Mary,13413
1896,John,8138,Mary,13811
1895,John,8320,Mary,13447
1894,John,8238,Mary,13151
1893,John,8049,Mary,12784
1892,John,9039,Mary,13172
1891,John,7680,Mary,11703
1890,John,8502,Mary,12078
1889,John,8548,Mary,11648
1888,John,9247,Mary,11754
1887,John,8110,Mary,9888
1886,John,9026,Mary,9889
1885,John,8756,Mary,9128
1884,John,9388,Mary,9217
1883,John,8894,Mary,8012
1882,John,9557,Mary,8148
1881,John,8769,Mary,6919
1880,John,9655,Mary,7065
